Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,away_team_corners_against,away_team_corners_for,away_team_goals_against,away_team_goals_for,away_team_possession,away_team_shotsoff_against,away_team_shotsoff_for,away_team_shotson_against,away_team_shotson_for,home_team_corners_against,home_team_corners_for,home_team_goals_against,home_team_goals_for,home_team_possession,home_team_shotsoff_against,home_team_shotsoff_for,home_team_shotson_against,home_team_shotson_for,IsTraining
E0,2018-10-08,Man United,Leicester,2,1,H,1,0,H,A Marriner,8,13,6,4,11,8,2,5,2,1,0,0,1.57,3.9,7.5,1.53,4.0,7.5,1.55,3.8,7.0,1.53,3.8,6.5,1.58,3.93,7.5,1.57,3.8,6.0,1.57,4.0,7.0,39,1.6,1.56,4.2,3.92,8.05,7.06,38,2.12,2.03,1.85,1.79,17,-0.75,1.75,1.7,2.29,2.21,1.55,4.07,7.69,3.9,6.0,1.7,2.3,47.0753634085213,3.9,4.9,5.7,5.6,3.9,4.4,0.7,1.9,54.88555555555556,3.4,5.4,5.3,5.6,True
E0,2018-11-08,Bournemouth,Cardiff,2,0,H,1,0,H,K Friend,12,10,4,1,11,9,7,4,1,1,0,0,1.9,3.6,4.5,1.9,3.4,4.4,1.9,3.5,4.1,1.85,3.5,4.25,1.89,3.63,4.58,1.91,3.5,4.0,1.87,3.6,4.75,39,1.93,1.88,3.71,3.53,4.75,4.37,38,2.05,1.98,1.92,1.83,20,-0.75,2.2,2.13,1.8,1.75,1.88,3.61,4.7,5.5,7.0,0.0,1.5,32.849999999999994,6.5,3.5,3.0,2.5,3.4,7.0,1.5,1.7,49.20288883974642,4.6,7.4,5.5,5.2,True
E0,2018-11-08,Fulham,Crystal Palace,0,2,A,0,1,A,M Dean,15,10,6,9,9,11,5,5,1,2,0,0,2.5,3.4,3.0,2.45,3.3,2.95,2.4,3.3,2.95,2.45,3.25,2.87,2.5,3.46,3.0,2.45,3.3,2.8,2.5,3.4,3.0,39,2.6,2.47,3.49,3.35,3.05,2.92,38,2.0,1.95,1.96,1.87,22,-0.25,2.18,2.11,1.81,1.77,2.62,3.38,2.9,5.1,6.0,1.4,1.4,46.233333333333334,4.5,4.9,5.3,6.8,4.5,5.5,2.0,2.0,65.3157894736842,2.5,7.5,7.5,10.5,True
E0,2018-11-08,Huddersfield,Chelsea,0,3,A,0,2,A,C Kavanagh,6,13,1,4,9,8,2,5,2,1,0,0,6.5,4.0,1.61,6.25,3.9,1.57,6.2,4.0,1.55,5.75,3.75,1.6,6.41,4.02,1.62,5.8,3.9,1.57,6.5,4.0,1.62,38,6.85,6.09,4.07,3.9,1.66,1.61,37,2.05,1.98,1.9,1.84,23,1.0,1.84,1.8,2.13,2.06,7.24,3.95,1.58,3.4,3.7,1.5,1.6,55.17236842105264,4.3,4.3,5.5,4.6,4.5,5.5,1.7,0.5,53.16283724015922,3.3,5.3,4.1,5.1,True
E0,2018-11-08,Newcastle,Tottenham,1,2,A,1,2,A,M Atkinson,15,15,2,5,11,12,3,5,2,2,0,0,3.9,3.5,2.04,3.8,3.5,2.0,3.7,3.35,2.05,3.7,3.3,2.0,3.83,3.57,2.08,3.8,3.2,2.05,3.9,3.4,2.1,39,4.01,3.83,3.57,3.4,2.12,2.05,38,2.1,2.01,1.88,1.81,20,0.25,2.2,2.12,1.8,1.76,4.74,3.53,1.89,6.3,4.0,1.9,1.1,62.60441938178779,4.3,5.4,7.4,4.5,4.6,3.4,0.6,1.8,45.85429824561403,4.5,5.8,4.5,4.5,True
E0,2018-11-08,Watford,Brighton,2,0,H,1,0,H,J Moss,19,6,5,0,10,16,8,2,2,2,0,0,2.37,3.2,3.4,2.35,3.1,3.3,2.2,3.3,3.4,2.35,3.1,3.2,2.43,3.22,3.33,2.38,3.0,3.3,2.4,3.2,3.4,39,2.48,2.36,3.3,3.14,3.42,3.31,37,2.46,2.35,1.67,1.59,22,-0.25,2.07,2.01,1.9,1.86,2.58,3.08,3.22,3.8,6.8,0.6,2.0,38.76868421052632,4.3,6.6,3.1,7.9,4.1,5.7,0.7,1.9,51.16086466165413,3.7,5.2,3.4,6.8,True
E0,2018-11-08,Wolves,Everton,2,2,D,1,1,D,C Pawson,11,6,4,5,8,7,3,6,0,1,0,1,2.37,3.3,3.3,2.35,3.2,3.2,2.25,3.35,3.2,2.25,3.2,3.2,2.36,3.4,3.28,2.3,3.2,3.2,2.38,3.3,3.3,38,2.41,2.33,3.4,3.27,3.4,3.23,36,2.2,2.09,1.83,1.75,22,-0.25,2.04,1.98,1.92,1.88,2.44,3.23,3.32,4.7,4.9,1.2,2.3,44.42348297213622,3.9,5.4,4.5,7.1,7.5,4.0,1.5,1.5,45.632894736842104,5.0,6.0,5.5,2.5,True
E0,2018-12-08,Arsenal,Man City,0,2,A,0,1,A,M Oliver,9,17,3,8,11,14,2,9,2,2,0,0,4.0,3.8,1.95,3.7,3.75,1.95,3.6,3.6,2.0,3.6,3.7,1.95,4.0,3.97,1.93,3.8,3.8,1.91,3.9,4.0,1.91,39,4.15,3.83,4.0,3.8,2.0,1.92,36,1.6,1.55,2.55,2.42,20,0.75,1.78,1.74,2.21,2.15,4.43,4.13,1.81,8.5,3.2,2.2,1.2,66.32093149540519,7.7,4.0,6.5,2.8,6.0,5.4,1.3,3.0,57.90374686716791,3.7,5.2,6.0,6.5,True
E0,2018-12-08,Liverpool,West Ham,4,0,H,2,0,H,A Taylor,18,5,8,2,14,9,5,4,1,2,0,0,1.25,6.5,14.0,1.2,6.75,14.0,1.25,6.1,11.0,1.22,6.5,13.0,1.27,6.35,13.25,1.25,5.5,12.0,1.25,6.5,13.0,38,1.29,1.25,6.79,6.22,15.0,12.3,33,1.49,1.44,2.88,2.72,21,-1.75,1.95,1.9,2.06,1.97,1.25,6.95,12.0,3.3,6.8,1.4,2.4,39.63947368421053,2.8,7.2,3.6,8.3,3.7,6.6,0.7,2.9,61.384473684210526,2.6,6.4,3.4,8.1,True
E0,2018-12-08,Southampton,Burnley,0,0,D,0,0,D,G Scott,18,16,3,6,10,9,8,5,0,1,0,0,1.85,3.5,5.0,1.8,3.5,4.75,1.8,3.6,4.5,1.83,3.25,4.75,1.86,3.51,4.99,1.83,3.25,4.8,1.85,3.4,5.2,39,1.9,1.84,3.61,3.43,5.2,4.8,37,2.45,2.34,1.67,1.6,20,-0.75,2.19,2.11,1.82,1.76,2.03,3.19,4.65,3.9,5.3,1.0,1.7,45.946854636591475,3.9,5.9,4.5,6.0,5.8,5.9,1.4,0.7,51.22894736842105,6.3,5.4,5.3,6.0,True
